run,x_final,y_final,theta_final_rad
1,0.925484,1.016549,-0.192073
2,0.929401,1.013265,-0.225726
3,0.924804,1.014975,-0.145325
4,0.929456,1.014222,-0.22519
5,0.92626,1.013536,-0.193151
6,0.931519,1.017947,-0.221139
7,0.928062,1.013522,-0.224361
8,0.925425,1.015873,-0.190875
9,0.925664,1.01319,-0.226559
10,0.924609,1.015402,-0.143869
11,0.928451,1.014196,-0.256188
12,0.926084,1.017052,-0.190538
13,0.928833,1.015583,-0.223543
14,0.928802,1.014512,-0.192513
15,0.925138,1.015104,-0.238934
16,0.924484,1.01737,-0.223107
17,0.924838,1.014358,-0.144589
18,0.929527,1.014144,-0.191386
19,0.931729,1.015215,-0.160227
20,0.925328,1.016495,-0.191807
